Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 2357,Space STEM,Palestine,Cambridge International School,Female,5,In-person,48,Science,Applied Tech,App Development,5
student 2358,STEM Sr,Saudi Arabia,Cambridge International School,Female,5,Hybrid,8,Sports,Proficiency,Graphics Designing,5
student 2359,FIRST Lego League - Senior,India,Cambridge International School,Female,5,Online,24,Technology,Intermediate,Coding for kids,3
student 2360,Bootcamp - 3D Designing & Modelling,KSA,Cambridge International School,Female,5,In-person,48,Technology,Proficiency,Python,3
student 2361,Technology Onsite - Regent - Team 1,Venezuela,Cambridge International School,Male,5,Online,24,Mathematics,Proficiency,App Development,2
student 2362,"CIS, Dubai - Stem Junior Year (3 -6)",Ukraine,Cambridge International School,Female,5,Online,24,Sports,Intermediate,3D Designing,5
student 2363,Coding For Kids,Switzerland,Cambridge International School,Female,5,Online,48,Art,Proficiency,App Development,3
student 2364,Game Development,Qatar,Cambridge International School,Male,5,Online,48,Technology,Beginner,3D Designing,2
student 2365,Web Development,Oman,Cambridge International School,Male,5,Online,24,Technology,Proficiency,3D Designing,4
student 2366,Game Development with Unity,India,Cambridge International School,Female,5,Hybrid,8,Sports,Applied Tech,AI,2
student 2367,STEM Jr,Canada,Cambridge International School,Male,5,Online,48,Mathematics,Beginner,Game Development,4
student 2368,Technology Boot Camp,Bosnia and Herzegovina,Cambridge International School,Female,5,Online,48,Music,Proficiency,Technology Innovative Learning,5
student 2369,App Design and Development,Canada,Cambridge International School,Male,5,Online,48,Art,Beginner,Game Development,3
student 2370,Technology Onsite,Oman,Cambridge International School,Female,5,Online,24,Sports,Applied Tech,App Development,5
student 2371,AI,Saudi Arabia,Cambridge International School,Female,5,Hybrid,96,Technology,Beginner,Coding for kids,4
student 2372,STEM Sr,Nigeria,Cambridge International School,Female,5,Hybrid,8,Art,Beginner,Python,5
student 2373,Young Data Scientist,UAE,Cambridge International School,Male,5,Online,48,Sports,Proficiency,Game Development,4
student 2374,Electronics for Kids,Canada,Cambridge International School,Male,5,In-person,8,Sports,Proficiency,Coding for kids,5
student 2375,Game Dev with SCRATCH,Palestine,Cambridge International School,Female,5,Online,48,Music,Intermediate,Python,4
student 2376,Robotics Innovative Learning,United Kingdom,Cambridge International School,Male,5,Online,48,Sports,Intermediate,Robotics Innovative Learning,2
student 2377,Gulf News - Metaverse,Afghanistan,Cambridge International School,Female,5,Online,24,Science,Intermediate,Graphics Designing,4
student 2378,World Robot Olympiad (WRO),Switzerland,Cambridge International School,Female,5,Online,48,Sports,Intermediate,App Development,4
student 2379,Spring Camps,Pakistan,Cambridge International School,Female,5,Online,48,Music,Proficiency,3D Designing,3
student 2380,Game Combat Championship (GCC),Malaysia,Cambridge International School,Female,5,Online,96,Art,Beginner,Technology Innovative Learning,4
student 2381,Technology Onsite,Cameroon,Cambridge International School,Male,5,Online,24,Sports,Beginner,Game Development,3
student 2382,Artificial Intelligence Program,Afghanistan,Cambridge International School,Female,5,Online,48,Music,Intermediate,AI,2
student 2383,Canon Junior Photography,Venezuela,Cambridge International School,Female,5,Hybrid,48,Art,Applied Tech,AI,4
student 2384,Virtual Robotics & Mechatronics,Canada,Cambridge International School,Male,5,Hybrid,24,Technology,Proficiency,App Development,4
student 2385,Microsoft Arcade,Bosnia and Herzegovina,Cambridge International School,Female,5,Online,24,Technology,Beginner,Technology Innovative Learning,5
student 2386,Tech Summer Camp for Juniors,Cook Islands,Cambridge International School,Male,5,Online,8,Art,Beginner,Coding for kids,5
student 2387,Gulf News - Robotics Innovative Learning,Venezuela,Cambridge International School,Female,5,Hybrid,24,Music,Proficiency,Python,5
student 2388,Young Designer Program,Ukraine,Cambridge International School,Female,5,Hybrid,48,Music,Proficiency,App Development,3
student 2389,Mid Term Program,IndiaSpain,Cambridge International School,Male,5,Hybrid,48,Mathematics,Applied Tech,Graphics Designing,2
student 2390,Young Designer,Syria,Cambridge International School,Female,5,In-person,96,Music,Beginner,Technology Innovative Learning,4
student 2391,Technology Onsite - Sunmarke - Team 1,Venezuela,Cambridge International School,Female,5,In-person,24,Art,Proficiency,Technology Innovative Learning,3
student 2392,VEX Robotics,Taiwan,Cambridge International School,Female,5,Hybrid,24,Mathematics,Beginner,Coding for kids,3
student 2393,Summer Camp 2022,Armenia,Cambridge International School,Male,5,Online,48,Music,Intermediate,App Development,4
student 2394,Programming & Coding - Python/JAVA/HTML/C/C++,China,Cambridge International School,Male,5,In-person,48,Technology,Applied Tech,Graphics Designing,2
student 2395,Game Dev with SCRATCH,India,Cambridge International School,Male,5,In-person,48,Science,Intermediate,Python,4
student 2396,World Robot Olympiad Webinar,Russia,Cambridge International School,Male,5,Online,8,Mathematics,Beginner,Python,5
student 2397,Technology Innovative Learning,Armenia,Cambridge International School,Female,5,Online,24,Mathematics,Proficiency,Robotics Innovative Learning,2
student 2398,Game Development with Unity,Jordan,Cambridge International School,Female,5,Online,24,Art,Beginner,AI,5
student 2399,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Korea,Cambridge International School,Male,5,In-person,48,Sports,Proficiency,Robotics Innovative Learning,3
student 2400,JAVA Programming,Venezuela,Cambridge International School,Male,5,In-person,24,Art,Beginner,Technology Innovative Learning,4
student 2401,VEX Robotics Competition (VRC - 2023/24),Palestine,Cambridge International School,Female,5,In-person,96,Music,Intermediate,Coding for kids,4
student 2402,AI,USA,Cambridge International School,Female,5,Online,48,Science,Intermediate,Game Development,3
student 2403,"Public Speaking, Design Thinking and Junior Entrepreneur Program for Students",Cameroon,Cambridge International School,Male,5,In-person,48,Music,Proficiency,3D Designing,2
student 2404,Technology Innovative Learning,United Kingdom,Cambridge International School,Male,5,Hybrid,24,Music,Proficiency,Technology Innovative Learning,5
student 2405,Technology Onsite - Sunmarke - Team 1,Kuwait,Cambridge International School,Female,5,In-person,24,Technology,Beginner,Technology Innovative Learning,4
student 2406,JAVA Programming,United States,Cambridge International School,Male,5,In-person,48,Science,Applied Tech,Robotics Innovative Learning,4
student 2407,3D Designing & Modelling,Oman,Cambridge International School,Female,5,Online,48,Art,Applied Tech,Game Development,4
student 2408,Microsoft Arcade,Uganda,Cambridge International School,Male,5,Online,48,Art,Applied Tech,Technology Innovative Learning,4
student 2409,Artificial Intelligence Program,Syria,Cambridge International School,Male,5,Hybrid,48,Sports,Intermediate,AI,4
student 2410,Metaverse,Malaysia,Cambridge International School,Male,5,In-person,48,Sports,Intermediate,Technology Innovative Learning,2
student 2411,Web Development,Uganda,Cambridge International School,Male,5,Online,24,Art,Applied Tech,Graphics Designing,4
student 2412,Tech Summer Camp for Juniors,Russia,Cambridge International School,Female,5,In-person,96,Science,Intermediate,AI,5
student 2413,Augmented & Virtual Reality,Qatar,Cambridge International School,Male,5,In-person,48,Music,Beginner,Python,4
student 2414,Train the Trainer,Ukraine,Cambridge International School,Male,5,In-person,24,Mathematics,Intermediate,App Development,3
student 2415,LEGO Robotics,Saudi Arabia,Cambridge International School,Male,5,In-person,24,Sports,Intermediate,Robotics Innovative Learning,4
student 2416,Technology Onsite - Sunmarke - Team 1,Jordan,Cambridge International School,Male,5,Hybrid,24,Music,Applied Tech,Coding for kids,4
student 2417,Artificial Intelligence,Canada,Cambridge International School,Male,5,In-person,24,Science,Applied Tech,Game Development,4
student 2418,Artificial Intelligence Summer Program & Internship,Poland,Cambridge International School,Female,5,In-person,8,Science,Proficiency,Game Development,5
student 2419,Internet of Things,Turkey,Cambridge International School,Female,5,Online,8,Art,Intermediate,AI,4
student 2420,Game Development,KSA,Cambridge International School,Male,5,In-person,24,Music,Intermediate,Game Development,2
student 2421,JAVA Programming,Malaysia,Cambridge International School,Male,5,In-person,24,Mathematics,Intermediate,Python,2
student 2422,"CIS, Dubai - Tech Innovator Year (7 -10)",Bahrain,Cambridge International School,Male,5,In-person,96,Technology,Applied Tech,Python,3
student 2423,Game Development - Block-Based,Uganda,Cambridge International School,Male,5,Hybrid,24,Music,Beginner,Python,4
student 2424,Gulf News - Robotics Innovative Learning,Uganda,Cambridge International School,Female,5,In-person,48,Sports,Intermediate,App Development,3
student 2425,3D Designing and Printing,Uganda,Cambridge International School,Female,5,Hybrid,96,Sports,Proficiency,Graphics Designing,2
student 2426,Art & Craft for Juniors,New Zealand,Cambridge International School,Female,5,Hybrid,24,Mathematics,Proficiency,Technology Innovative Learning,5
student 2427,ALIF Robotics Workshop,Nigeria,Cambridge International School,Female,5,Online,48,Mathematics,Applied Tech,Graphics Designing,4
student 2428,Web Development,UAE,Cambridge International School,Female,5,In-person,24,Mathematics,Beginner,Technology Innovative Learning,4
student 2429,Public Speaking & Entrepreneurship,China,Cambridge International School,Male,5,In-person,24,Music,Intermediate,AI,5
student 2430,Bootcamp - 3D Designing & Modelling,China,Cambridge International School,Male,5,Hybrid,24,Technology,Proficiency,Coding for kids,4
student 2431,Young Product Designer,Qatar,Cambridge International School,Female,5,Hybrid,48,Music,Applied Tech,Python,2
student 2432,3D Designing,Palestine,Cambridge International School,Female,5,Online,8,Art,Beginner,AI,3
student 2433,Coding for kids,Bosnia and Herzegovina,Cambridge International School,Male,5,Online,96,Art,Applied Tech,Technology Innovative Learning,4
student 2434,Artificial Intelligence of Things (AIoT),Nigeria,Cambridge International School,Male,5,Hybrid,48,Music,Proficiency,Game Development,4
student 2435,Young App Developer,Egypt,Cambridge International School,Female,5,Online,24,Technology,Applied Tech,App Development,4
student 2436,Electronics for Kids,Egypt,Cambridge International School,Male,5,In-person,96,Art,Intermediate,Coding for kids,4
student 2437,Gulf News - Metaverse,India,Cambridge International School,Male,5,In-person,48,Technology,Beginner,3D Designing,5
student 2438,JAVA,USA,Cambridge International School,Male,5,Online,96,Mathematics,Beginner,App Development,4
student 2439,Young Coder,USA,Cambridge International School,Female,5,Online,48,Science,Intermediate,Graphics Designing,4
student 2440,Speech and Drama,Uganda,Cambridge International School,Female,5,Hybrid,48,Sports,Applied Tech,Robotics Innovative Learning,5
student 2441,Data Science,Uruguay,Cambridge International School,Male,5,Online,8,Music,Intermediate,3D Designing,5
student 2442,Game Combat Championship (GCC),Iraq,Cambridge International School,Female,5,Online,8,Music,Intermediate,Python,4
student 2443,World Robot Olympiad (WRO),United Kingdom,Cambridge International School,Female,5,In-person,48,Mathematics,Proficiency,Robotics Innovative Learning,5
student 2444,Web Development,Kuwait,Cambridge International School,Female,5,Hybrid,48,Music,Beginner,3D Designing,2
student 2445,Public Speaking,Iraq,Cambridge International School,Female,5,In-person,96,Music,Proficiency,Technology Innovative Learning,3
student 2446,Public Speaking,China,Cambridge International School,Female,5,Hybrid,24,Mathematics,Beginner,App Development,4
student 2447,Game Development with Unity,Switzerland,Cambridge International School,Male,5,Hybrid,24,Art,Applied Tech,App Development,3
student 2448,Programming & Coding - Python/JAVA/HTML/C/C++,Bosnia and Herzegovina,Cambridge International School,Female,5,In-person,96,Music,Intermediate,App Development,4
student 2449,Python,New Zealand,Cambridge International School,Male,5,In-person,24,Technology,Applied Tech,3D Designing,4
student 2450,World Robot Olympiad (WRO),Ukraine,Cambridge International School,Male,5,Online,48,Mathematics,Intermediate,Coding for kids,3
student 2451,VEX IQ Competition (VIQC - 2022 / 23),Afghanistan,Cambridge International School,Male,5,Online,24,Sports,Beginner,App Development,2
student 2452,AI,Egypt,Cambridge International School,Female,5,In-person,48,Sports,Proficiency,Python,5
student 2453,3D Designing & Modelling,Switzerland,Cambridge International School,Female,5,Hybrid,48,Science,Beginner,App Development,3
student 2454,Graphic Designing & Animation,Iran (Islamic Republic of),Cambridge International School,Male,5,Hybrid,48,Science,Intermediate,Python,2
student 2455,3D Designing,Malaysia,Cambridge International School,Male,5,In-person,48,Technology,Intermediate,Robotics Innovative Learning,4
student 2456,JAVA Programming,Uruguay,Cambridge International School,Male,5,Online,24,Mathematics,Beginner,App Development,3
student 2457,Coding For Kids,Pakistan,Cambridge International School,Female,5,Online,24,Music,Beginner,Technology Innovative Learning,5
student 2458,Arduino,UK,Cambridge International School,Female,5,In-person,24,Sports,Beginner,Robotics Innovative Learning,3
student 2459,Virtual Robotics & Mechatronics,Malaysia,Cambridge International School,Female,5,Hybrid,48,Art,Beginner,Robotics Innovative Learning,5
student 2460,Canon Junior Photography,India,Cambridge International School,Male,5,Hybrid,48,Sports,Applied Tech,AI,4
student 2461,Augmented & Virtual Reality,Armenia,Cambridge International School,Male,5,In-person,24,Science,Proficiency,Game Development,2
student 2462,Gulf News - Metaverse,Singapore,Cambridge International School,Male,5,Hybrid,24,Art,Proficiency,Python,2
student 2463,Summer Camp 2022,Saudi Arabia,Cambridge International School,Male,5,In-person,24,Technology,Beginner,Game Development,4
student 2464,Drone Technology,Pakistan,Cambridge International School,Female,5,In-person,8,Music,Beginner,Robotics Innovative Learning,4
student 2465,Game Development with Unity,Pakistan,Cambridge International School,Male,5,In-person,48,Technology,Applied Tech,Game Development,4
student 2466,Bootcamp - Artificial Intelligence,Pakistan,Cambridge International School,Male,5,Hybrid,24,Science,Proficiency,Robotics Innovative Learning,5
student 2467,World Robot Olympiad Webinar,Bahrain,Cambridge International School,Female,5,In-person,48,Art,Proficiency,Graphics Designing,4
